sample	scheme	scheme_version	subtype	all_subtypes	tiles_matching_subtype	are_subtypes_consistent	inconsistent_subtypes	n_tiles_matching_all	n_tiles_matching_all_expected	n_tiles_matching_positive	n_tiles_matching_positive_expected	n_tiles_matching_subtype	n_tiles_matching_subtype_expected	file_path	qc_status	qc_message
SAL_CA4987AA_AS	heidelberg	0.5.0	1.1	1; 1.1	2904061-1.1; 4738855-1.1; 1049933-1.1; 1193219-1.1; 4499501-1.1; 202001-1.1; 2778621-1.1; 3867228-1.1; 4579224-1.1; 3278067-1.1; 600783-1.1	True		202	202	13	13	11	11	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4987AA_AS.scaffold.fasta	PASS	
SAL_EA5294AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	3230678-2.2.2.1.1.1; 3264474-2.2.2.1.1.1; 167020-2.2.2.1.1.1; 198398-2.2.2.1.1.1; 908618-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5294AA_AS.scaffold.fasta	PASS	
SAL_EA5110AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	3540924-2.2.2.2.2.2; 3062689-2.2.2.2.2.2; 2801759-2.2.2.2.2.2; 42232-2.2.2.2.2.2; 1950957-2.2.2.2.2.2	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5110AA_AS.scaffold.fasta	PASS	
SAL_CA1489AA_AS	heidelberg	0.5.0	2.1.1.2	2; 2.1; 2.1.1; 2.1.1.2	1329594-2.1.1.2; 3939049-2.1.1.2; 4013058-2.1.1.2; 2496132-2.1.1.2	True		202	202	19	19	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1489AA_AS.scaffold.fasta	PASS	
SAL_CA0938AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	1950957-2.2.2.2.2.2; 3062689-2.2.2.2.2.2; 3540924-2.2.2.2.2.2; 2801759-2.2.2.2.2.2; 42232-2.2.2.2.2.2	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA0938AA_AS.scaffold.fasta	PASS	
SAL_CA5894AA_AS	heidelberg	0.5.0	2.1.1.2	2; 2.1; 2.1.1; 2.1.1.2	2496132-2.1.1.2; 3939049-2.1.1.2; 4013058-2.1.1.2; 1329594-2.1.1.2	True		202	202	19	19	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5894AA_AS.scaffold.fasta	PASS	
SAL_CA2040AA_AS	heidelberg	0.5.0	2.2.2.2.1.4	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.4	3785187-2.2.2.2.1.4; 1037658-2.2.2.2.1.4; 2154958-2.2.2.2.1.4	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA2040AA_AS.scaffold.fasta	PASS	
SAL_CA5223AA_AS	heidelberg	0.5.0	2.2.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1	21097-2.2.1.1.1; 1047714-2.2.1.1.1; 944885-2.2.1.1.1; 157792-2.2.1.1.1	True		202	202	18	18	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5223AA_AS.scaffold.fasta	PASS	
SAL_IA8411AA_AS	heidelberg	0.5.0	1.3	1; 1.3	3913221-1.3; 92666-1.3; 4472427-1.3; 4707754-1.3	True		202	202	6	6	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_IA8411AA_AS.scaffold.fasta	PASS	
SAL_CA4932AA_AS	heidelberg	0.5.0	2.1.1	2; 2.1; 2.1.1	2283825-2.1.1; 3801966-2.1.1; 2422397-2.1.1; 3408895-2.1.1	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4932AA_AS.scaffold.fasta	PASS	
SAL_EA8885AA_AS	heidelberg	0.5.0	2.2.2.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1	1037736-2.2.2.1.1; 3691258-2.2.2.1.1; 3811523-2.2.2.1.1	True		202	202	15	15	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA8885AA_AS.scaffold.fasta	PASS	
SAL_EA8933AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	908618-2.2.2.1.1.1; 3264474-2.2.2.1.1.1; 3230678-2.2.2.1.1.1; 198398-2.2.2.1.1.1; 167020-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA8933AA_AS.scaffold.fasta	PASS	
SAL_EA5128AA_AS	heidelberg	0.5.0	2.1.1.3	2; 2.1; 2.1.1; 2.1.1.3	4120499-2.1.1.3; 2213229-2.1.1.3; 2878560-2.1.1.3; 3011381-2.1.1.3; 3742501-2.1.1.3	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5128AA_AS.scaffold.fasta	PASS	
SAL_IA1746AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	3540924-2.2.2.2.2.2; 2801759-2.2.2.2.2.2; 3062689-2.2.2.2.2.2; 1950957-2.2.2.2.2.2; 42232-2.2.2.2.2.2	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_IA1746AA_AS.scaffold.fasta	PASS	
SAL_EA4560AA_AS	heidelberg	0.5.0	2.1.1.3	2; 2.1; 2.1.1; 2.1.1.3	4120499-2.1.1.3; 2878560-2.1.1.3; 3011381-2.1.1.3; 2213229-2.1.1.3; 3742501-2.1.1.3	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4560AA_AS.scaffold.fasta	PASS	
SAL_EA9235AA_AS	heidelberg	0.5.0	2.2.2.2.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.3	3819645-2.2.2.2.3; 4525936-2.2.2.2.3; 4540735-2.2.2.2.3; 2693425-2.2.2.2.3; 3012157-2.2.2.2.3; 2805778-2.2.2.2.3; 2561007-2.2.2.2.3; 2778422-2.2.2.2.3	True		202	202	20	20	8	8	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA9235AA_AS.scaffold.fasta	PASS	
SAL_EA5316AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	198398-2.2.2.1.1.1; 3230678-2.2.2.1.1.1; 3264474-2.2.2.1.1.1; 908618-2.2.2.1.1.1; 167020-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5316AA_AS.scaffold.fasta	PASS	
SAL_CA2246AA_AS	heidelberg	0.5.0	2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2	3212817-2.2.2.2; 3324813-2.2.2.2; 775920-2.2.2.2	True		202	202	12	12	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA2246AA_AS.scaffold.fasta	PASS	
SAL_LA4006AA_AS	heidelberg	0.5.0	2.2.2.2.1.1	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.1	1603329-2.2.2.2.1.1; 2606626-2.2.2.2.1.1; 3373069-2.2.2.2.1.1	True		201	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_LA4006AA_AS.scaffold.fasta	PASS	
SAL_CA1600AA_AS	heidelberg	0.5.0	2.1.1	2; 2.1; 2.1.1	3408895-2.1.1; 2283825-2.1.1; 2422397-2.1.1; 3801966-2.1.1	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1600AA_AS.scaffold.fasta	PASS	
SAL_EA1809AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	42232-2.2.2.2.2.2; 3540924-2.2.2.2.2.2; 2801759-2.2.2.2.2.2; 3062689-2.2.2.2.2.2; 1950957-2.2.2.2.2.2	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA1809AA_AS.scaffold.fasta	PASS	
SAL_CA5571AA_AS	heidelberg	0.5.0	2.1.1	2; 2.1; 2.1.1	2422397-2.1.1; 3801966-2.1.1; 3408895-2.1.1; 2283825-2.1.1	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5571AA_AS.scaffold.fasta	PASS	
SAL_CA2217AA_AS	heidelberg	0.5.0	2.2.2.2.1.4	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.4	2154958-2.2.2.2.1.4; 1037658-2.2.2.2.1.4; 3785187-2.2.2.2.1.4	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA2217AA_AS.scaffold.fasta	PASS	
SAL_CA5021AA_AS	heidelberg	0.5.0	2.1.1	2; 2.1; 2.1.1	2422397-2.1.1; 3408895-2.1.1; 3801966-2.1.1; 2283825-2.1.1	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5021AA_AS.scaffold.fasta	PASS	
SAL_EA9568AA_AS	heidelberg	0.5.0	2.2.2.2.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.3	4525936-2.2.2.2.3; 4540735-2.2.2.2.3; 2778422-2.2.2.2.3; 2693425-2.2.2.2.3; 2805778-2.2.2.2.3; 2561007-2.2.2.2.3; 3012157-2.2.2.2.3; 3819645-2.2.2.2.3	True		202	202	20	20	8	8	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA9568AA_AS.scaffold.fasta	PASS	
SAL_EA8375AA_AS	heidelberg	0.5.0	1.3	1; 1.3	4472427-1.3; 4707754-1.3; 92666-1.3; 3913221-1.3	True		202	202	6	6	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA8375AA_AS.scaffold.fasta	PASS	
SAL_CA2066AA_AS	heidelberg	0.5.0	2.2.2.2.1.4	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.4	2154958-2.2.2.2.1.4; 3785187-2.2.2.2.1.4; 1037658-2.2.2.2.1.4	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA2066AA_AS.scaffold.fasta	PASS	
SAL_CA2084AA_AS	heidelberg	0.5.0	2.2.2.2.1.4	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.4	1037658-2.2.2.2.1.4; 2154958-2.2.2.2.1.4; 3785187-2.2.2.2.1.4	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA2084AA_AS.scaffold.fasta	PASS	
SAL_IA1886AA_AS	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2455459-2.2.2.2.1.2; 2406889-2.2.2.2.1.2; 484993-2.2.2.2.1.2; 4157035-2.2.2.2.1.2	True		202	202	18	18	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_IA1886AA_AS.scaffold.fasta	PASS	
SAL_CA0966AA_AS	heidelberg	0.5.0	1.3	1; 1.3	4472427-1.3; 4707754-1.3; 92666-1.3; 3913221-1.3	True		202	202	6	6	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA0966AA_AS.scaffold.fasta	PASS	
SAL_CA0239AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	1983064-2.2.1.1.1.1; 4211912-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA0239AA_AS.scaffold.fasta	PASS	
SAL_EA8947AA_AS	heidelberg	0.5.0	2.1.1.3	2; 2.1; 2.1.1; 2.1.1.3	4120499-2.1.1.3; 2878560-2.1.1.3; 3011381-2.1.1.3; 3742501-2.1.1.3; 2213229-2.1.1.3	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA8947AA_AS.scaffold.fasta	PASS	
SAL_CA1075AA_AS	heidelberg	0.5.0	1	1	3677767-1; 2531225-1	True		202	202	2	2	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1075AA_AS.scaffold.fasta	PASS	
SAL_CA1250AA_AS	heidelberg	0.5.0	1.3	1; 1.3	92666-1.3; 4707754-1.3; 4472427-1.3; 3913221-1.3	True		202	202	6	6	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1250AA_AS.scaffold.fasta	PASS	
SAL_EA4940AA_AS	heidelberg	0.5.0	2.2.2.2.1.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.3	2934077-2.2.2.2.1.3; 1052031-2.2.2.2.1.3; 508759-2.2.2.2.1.3	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4940AA_AS.scaffold.fasta	PASS	
SAL_EA4774AA_AS	heidelberg	0.5.0	2.1.1.3	2; 2.1; 2.1.1; 2.1.1.3	2878560-2.1.1.3; 3011381-2.1.1.3; 4120499-2.1.1.3; 2213229-2.1.1.3; 3742501-2.1.1.3	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4774AA_AS.scaffold.fasta	PASS	
SAL_CA5160AA_AS	heidelberg	0.5.0	2.1.1	2; 2.1; 2.1.1	3801966-2.1.1; 3408895-2.1.1; 2283825-2.1.1; 2422397-2.1.1	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5160AA_AS.scaffold.fasta	PASS	
SAL_EA1829AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	198398-2.2.2.1.1.1; 167020-2.2.2.1.1.1; 908618-2.2.2.1.1.1; 3230678-2.2.2.1.1.1; 3264474-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA1829AA_AS.scaffold.fasta	PASS	
SAL_CA0451AA_AS	heidelberg	0.5.0	2.2.2.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1	3811523-2.2.2.1.1; 3691258-2.2.2.1.1; 1037736-2.2.2.1.1	True		202	202	15	15	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA0451AA_AS.scaffold.fasta	PASS	
SAL_CA5325AA_AS	heidelberg	0.5.0	1.2	1; 1.2	4166216-1.2; 3082064-1.2; 3090898-1.2; 3113857-1.2; 2239956-1.2; 4642573-1.2	True		202	202	8	8	6	6	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5325AA_AS.scaffold.fasta	PASS	
SAL_JA0904AA_AS	heidelberg	0.5.0	2.2.2.2.1.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.3	508759-2.2.2.2.1.3; 1052031-2.2.2.2.1.3; 2934077-2.2.2.2.1.3	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_JA0904AA_AS.scaffold.fasta	PASS	
SAL_CA4884AA_AS	heidelberg	0.5.0	2.1.3	2; 2.1; 2.1.3	2963935-2.1.3; 4282538-2.1.3; 2045923-2.1.3; 64709-2.1.3	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4884AA_AS.scaffold.fasta	PASS	
SAL_BA5145AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	3062689-2.2.2.2.2.2; 2801759-2.2.2.2.2.2; 1950957-2.2.2.2.2.2; 42232-2.2.2.2.2.2; 3540924-2.2.2.2.2.2	True		201	202	19	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_BA5145AA_AS.scaffold.fasta	PASS	
SAL_CA1049AA_AS	heidelberg	0.5.0	2.2.2.2.1.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.3	508759-2.2.2.2.1.3; 2934077-2.2.2.2.1.3; 1052031-2.2.2.2.1.3	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1049AA_AS.scaffold.fasta	PASS	
SAL_CA4923AA_AS	heidelberg	0.5.0	2.1.3	2; 2.1; 2.1.3	2963935-2.1.3; 4282538-2.1.3; 2045923-2.1.3; 64709-2.1.3	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4923AA_AS.scaffold.fasta	PASS	
SAL_EA9483AA_AS	heidelberg	0.5.0	2.2.2.2.2.1	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.1	3267927-2.2.2.2.2.1; 239152-2.2.2.2.2.1; 3647258-2.2.2.2.2.1; 3586333-2.2.2.2.2.1	True		202	202	19	19	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA9483AA_AS.scaffold.fasta	PASS	
SAL_CA5884AA_AS	heidelberg	0.5.0	2.2	2; 2.2	3766668-2.2; 3479768-2.2; 4241351-2.2; 4744778-2.2; 2438389-2.2	True		202	202	7	7	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5884AA_AS.scaffold.fasta	PASS	
SAL_EA9351AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	1983064-2.2.1.1.1.1; 4211912-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA9351AA_AS.scaffold.fasta	PASS	
SAL_CA0715AA_AS	heidelberg	0.5.0	2.2.2.2.1.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.3	1052031-2.2.2.2.1.3; 2934077-2.2.2.2.1.3; 508759-2.2.2.2.1.3	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA0715AA_AS.scaffold.fasta	PASS	
SAL_EA8951AA_AS	heidelberg	0.5.0	2.2.2.2.4	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.4	3523461-2.2.2.2.4; 1689446-2.2.2.2.4; 1649579-2.2.2.2.4; 1288160-2.2.2.2.4	True		202	202	16	16	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA8951AA_AS.scaffold.fasta	PASS	
SAL_EA5221AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	198398-2.2.2.1.1.1; 908618-2.2.2.1.1.1; 3264474-2.2.2.1.1.1; 167020-2.2.2.1.1.1; 3230678-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5221AA_AS.scaffold.fasta	PASS	
SAL_EA5291AA_AS	heidelberg	0.5.0	2.2.2.2.2.1	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.1	239152-2.2.2.2.2.1; 3267927-2.2.2.2.2.1; 3586333-2.2.2.2.2.1; 3647258-2.2.2.2.2.1	True		202	202	19	19	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5291AA_AS.scaffold.fasta	PASS	
SAL_EA4736AA_AS	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2455459-2.2.2.2.1.2; 2406889-2.2.2.2.1.2; 484993-2.2.2.2.1.2; 4157035-2.2.2.2.1.2	True		202	202	18	18	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4736AA_AS.scaffold.fasta	PASS	
SAL_EA4504AA_AS	heidelberg	0.5.0	2.2.1.1.2	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.2	720751-2.2.1.1.2; 2592097-2.2.1.1.2; 3587211-2.2.1.1.2; 3943311-2.2.1.1.2	True		202	202	18	18	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4504AA_AS.scaffold.fasta	PASS	
SAL_EA1824AA_AS	heidelberg	0.5.0	2.2.2.2.1.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.3	508759-2.2.2.2.1.3; 1052031-2.2.2.2.1.3; 2934077-2.2.2.2.1.3	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA1824AA_AS.scaffold.fasta	PASS	
SAL_CA1403AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	1983064-2.2.1.1.1.1; 4211912-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1403AA_AS.scaffold.fasta	PASS	
SAL_EA4497AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	198398-2.2.2.1.1.1; 167020-2.2.2.1.1.1; 3230678-2.2.2.1.1.1; 3264474-2.2.2.1.1.1; 908618-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4497AA_AS.scaffold.fasta	PASS	
SAL_CA2634AA_AS	heidelberg	0.5.0	2.2.1.1.2	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.2	720751-2.2.1.1.2; 2592097-2.2.1.1.2; 3587211-2.2.1.1.2; 3943311-2.2.1.1.2	True		202	202	18	18	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA2634AA_AS.scaffold.fasta	PASS	
