Assembly Barcode	Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Phage Type	Lab Contact	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_UA1635AA_AS	SAL_KA3925AA	CB08.041	traces-0vJxZYa;ILLUMINA;Paired;;;1847898438;151	SAL_KA3925AA		Human		2008				Asia	Taiwan							Heidelberg (Predicted)	I				M. Achtman	Itemtracker ID: 261664, Study ID: 4463STDY6724124					2017-07-20	2018-01-18	Assembled	385	725156	4796052	Salmonella enterica;96.97%	38	906	3.61	SAL_UA1635AA_AS
SAL_LA6140AA_AS	SAL_GA3329AA	IVB 126/82	SRR1122726;ILLUMINA;Paired;250;SRX436003;1762187000;98	SAL_GA3329AA								South America	Brazil							Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02367675	SRS535828	2016-07-01	2015-07-22	Assembled	372	238801	4729689	Salmonella enterica;95.75%	49	524	3.41	SAL_LA6140AA_AS
SAL_AB3277AA_AS	SAL_PA2047AA	PNUSAS029968	SRR7015166;ILLUMINA;Paired;;SRX3947419;;	SAL_PA2047AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08942966	SRS3177766	2018-04-19	2018-04-17	Assembled	372	312011	4764883	Salmonella enterica;92.31%	52	90462	4	SAL_AB3277AA_AS
SAL_LA7656AA_AS	SAL_GA1735AA	SAL3272	SRR1840645;ILLUMINA;Paired;;SRX902679;1868154234;97	SAL_GA1735AA	Poultry	Avian	Chicken; Gallus gallus	2004												4,12:R:-	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02368077	SRS865377	2016-06-30	2016-03-05	Assembled	365	231033	5117033	Salmonella enterica;94.2%	71	1182	3.41	SAL_LA7656AA_AS
SAL_UA1482AA_AS	SAL_KA4080AA	H103540819	traces-0zkGbmj;ILLUMINA;Paired;;;1705593924;151	SAL_KA4080AA	Environment	Water	River (Thames River)	2009				Europe	United Kingdom							Heidelberg	I		4,5,12:r:1,2		M. Achtman	Itemtracker ID: 261428, Study ID: 4463STDY6723985					2017-07-20	2018-01-18	Assembled	358	694160	4760252	Salmonella enterica;100.0%	40	422	3.61	SAL_UA1482AA_AS
SAL_QA5415AA_AS	SAL_IA6355AA	12-3792	SRR5236395;ILLUMINA;Paired;;SRX2543458;1665250220;295	SAL_IA6355AA	Human	Human	ND	2012	6			North America	Canada	Quebec						Heidelberg	I				National Microbiology Laboratory		PRJNA369657	SRP099025	SAMN06278987	SRS1962591	2017-02-14	2017-02-06	Assembled	342	693678	4857794	Salmonella enterica;94.3%	50	2149	3.61	SAL_QA5415AA_AS
SAL_TA5138AA_AS	SAL_JA9916AA	2015AM-1315	SRR5714989;ILLUMINA;Paired;;SRX2935358;1554628518;237	SAL_JA9916AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07258031	SRS2297533	2017-06-20	2017-06-20	Assembled	322	725423	4820546	Salmonella enterica;92.59%	36	2153	3.61	SAL_TA5138AA_AS
SAL_OA1259AA_AS	SAL_HA5175AA	11-3463	SRR5055261;ILLUMINA;Paired;;SRX2376075;1461468690;297	SAL_HA5175AA	Human	Human	Homo sapiens					North America	Canada							Heidelberg	I				National Microbiology Laboratory		PRJNA353625	SRP093623	SAMN06030123	SRS1819117	2016-11-27	2016-11-24	Assembled	307	203463	4755915	Salmonella enterica;100.0%	53	10106	3.51	SAL_OA1259AA_AS
SAL_LA5796AA_AS	SAL_GA3672AA	CFSAN005860	SRR1060531;ILLUMINA;Paired;250;SRX399409;1557390978;99	SAL_GA3672AA	Poultry	Avian	Turkey	2004												4,12:R:-	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02368084	SRS519843	2016-07-01	2015-07-22	Assembled	305	155831	5090992	Salmonella enterica;96.71%	93	698	3.41	SAL_LA5796AA_AS
SAL_LA5660AA_AS	SAL_GA3808AA	NVSL 5208	SRR1060667;ILLUMINA;Paired;250;SRX399273;1454522664;98	SAL_GA3808AA	Poultry	Avian	Turkey	1987				North America	United States	Colorado						Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02367677	SRS519707	2016-07-01	2015-07-22	Assembled	294	235074	4945651	Salmonella enterica;90.47%	59	847	3.41	SAL_LA5660AA_AS
SAL_QA5497AA_AS	SAL_IA6273AA	PNUSAS007852	SRR5238038;ILLUMINA;Paired;;SRX2545010;1310801954;229	SAL_IA6273AA	Environment	Soil/Dust						North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN06290383	SRS1963915	2017-02-14	2017-02-08	Assembled	263	382039	4969148	Salmonella enterica;77.35%	85	2235	3.61	SAL_QA5497AA_AS
SAL_XA7672AA_AS	SAL_NA1143AA	PNUSAS026797	SRR6371572;ILLUMINA;Paired;;SRX3466895;1238800336;136	SAL_NA1143AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08134088	SRS2754702	2017-12-13	2017-12-13	Assembled	261	412022	4735499	Salmonella enterica;100.0%	71	1151	3.61	SAL_XA7672AA_AS
SAL_NA7609AA_AS	SAL_HA3785AA	IC BHA DTS	traces-0gzZtTi;ILLUMINA;Paired;;NA;1120839264;144,traces-0UwEDfE;ILLUMINA;Paired;;NA;1213751520;144	SAL_HA3785AA								Africa	Malawi							Heidelberg (Predicted)					Jay Hinton	index invasive strain 					2016-11-16	2017-05-21	Assembled	257	747447	4721391	Salmonella enterica;100.0%	41	491	3.51	SAL_NA7609AA_AS
SAL_LA5790AA_AS	SAL_GA3678AA	BCW_2231	SRR1060537;ILLUMINA;Paired;250;SRX399403;1239226164;99	SAL_GA3678AA	Poultry	Avian	Chicken Breast; Gallus gallus	2011				North America	United States	Pennsylvania						4,5,12:	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02368032	SRS519837	2016-07-01	2015-07-22	Assembled	254	230997	4875254	Salmonella enterica;93.22%	67	753	3.41	SAL_LA5790AA_AS
SAL_LA5500AA_AS	SAL_GA3990AA	SOP_15	ERR351248;ILLUMINA;Paired;300;ERX324084;1247237760;96	SAL_GA3990AA																Heidelberg (Predicted)	I				Technical University of Denmark�		PRJEB4698	ERP004008	SAMEA2240917	ERS353835	2016-07-01	2013-10-19	Assembled	252	192681	4947142	Salmonella enterica;98.57%	73	1168	3.41	SAL_LA5500AA_AS
SAL_LA6139AA_AS	SAL_GA3330AA	NVSL 5145	SRR1122727;ILLUMINA;Paired;250;SRX436001;1195738768;98	SAL_GA3330AA	Companion animal	Canine	Dog	1986				North America	United States	Texas						Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02367672	SRS535827	2016-07-01	2015-07-22	Assembled	251	246766	4753600	Salmonella enterica;100.0%	51	594	3.41	SAL_LA6139AA_AS
SAL_LA5658AA_AS	SAL_GA3810AA	IVB 7135/1990	SRR1060669;ILLUMINA;Paired;250;SRX399271;1207139780;97	SAL_GA3810AA								Asia	Israel							Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02367674	SRS519705	2016-07-01	2015-07-22	Assembled	248	277743	4865940	Salmonella enterica;92.87%	60	922	3.41	SAL_LA5658AA_AS
SAL_QA5809AA_AS	SAL_IA5961AA	N13-01303	SRR5239230;ILLUMINA;Paired;;SRX2546124;1206784000;250	SAL_IA5961AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I				National Microbiology Laboratory		PRJNA369657	SRP099025	SAMN06279037	SRS1964983	2017-02-14	2017-02-07	Assembled	248	725308	4860970	Salmonella enterica;96.88%	40	3125	3.61	SAL_QA5809AA_AS
SAL_XA0860AA_AS	SAL_MA6693AA	PNUSAS027839	SRR6299349;ILLUMINA;Paired;;SRX3400277;1189021800;230	SAL_MA6693AA	Companion animal	Canine	Canine	2014				North America	United States	Wyoming											Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08015683	SRS2694423	2017-11-17	2017-11-16	Assembled	240	412162	4953061	Salmonella enterica;92.31%	40	1257	3.61	SAL_XA0860AA_AS
SAL_YA9119AA_AS	SAL_OA0305AA	PNUSAS034246	SRR6726330;ILLUMINA;Paired;;SRX3699418;;	SAL_OA0305AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08536301	SRS2958894	2018-02-15	2018-02-14	Assembled	240	298801	5060053	Salmonella enterica;81.82%	75	3044	3.61	SAL_YA9119AA_AS
SAL_LA5662AA_AS	SAL_GA3806AA	IVB 218/82	SRR1060665;ILLUMINA;Paired;250;SRX399275;1140937560;98	SAL_GA3806AA								North America	United States							Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02367680	SRS519709	2016-07-01	2015-07-22	Assembled	237	248747	4796587	Salmonella enterica;100.0%	45	610	3.41	SAL_LA5662AA_AS
SAL_KA2312AA_AS	SAL_EA8739AA	NY-N19975	SRR3096087;ILLUMINA;Paired;500;SRX1526452;1109908316;242	SAL_EA8739AA	Poultry	Avian	Chicken Breast	2009				North America	United States	California						Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN04224281	SRS1244325	2016-01-11	2015-01-01	Assembled	230	175159	4805916	Salmonella enterica;100.0%	80	10725	3.32	SAL_KA2312AA_AS
SAL_LA6345AA_AS	SAL_GA3125AA	BCW_3407	SRR1122497;ILLUMINA;Paired;250;SRX436234;1095381672;98	SAL_GA3125AA	Poultry	Avian	Cecum; Meleagris gallopavo	1997				North America	United States	West Virginia						Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02368382	SRS536060	2016-07-01	2015-07-22	Assembled	229	248747	4775998	Salmonella enterica;100.0%	54	269	3.41	SAL_LA6345AA_AS
SAL_WA2236AA_AS	SAL_MA0322AA	11-30423-11-001	SRR6160659;ILLUMINA;Paired;500;SRX3272227;1171156392;199	SAL_MA0322AA	Livestock	Bovine	Bos taurus-Pooled tissue	2001				North America	United States	Ohio						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA338674	SRP083283	SAMN07765397	SRS2583826	2017-10-12	2017-10-11	Assembled	229	229749	5111264	Salmonella enterica;89.23%	128	3684	3.61	SAL_WA2236AA_AS
SAL_RA9541AA_AS	SAL_JA0872AA	FDAARGOS_319	SRR5409216;ILLUMINA;Paired;511;SRX2701506;1131440800;100,SRR5409217;PACBIO_SMRT;Single;;SRX2701507;;	SAL_JA0872AA	Human	Human	Stool; Human (homo sapiens)	2012												Heidelberg					University of Maryland - Institute for Genome Sciences		PRJNA231221	SRP040661	SAMN06173332	SRS2095419	2017-04-04	2017-04-03	Assembled	228	291665	4946580	Salmonella enterica;86.05%	47	151	3.61	SAL_RA9541AA_AS
SAL_LA9792AA_AS	SAL_FA9545AA	CDPHFDLB-F14M01175-1	SRR3110367;ILLUMINA;Paired;500;SRX1537990;1110977952;227	SAL_FA9545AA	Poultry	Avian	raw chicken	2014	7			North America	United States	California						Heidelberg (Predicted)	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA277983	SRP063984	SAMN03462253	SRS1254642	2016-06-30	2015-01-01	Assembled	227	214310	4874092	Salmonella enterica;98.19%	72	6732	3.41	SAL_LA9792AA_AS
SAL_PA9376AA_AS	SAL_IA0625AA	PNUSAS007071	SRR5190140;ILLUMINA;Paired;;SRX2505968;1098900072;207	SAL_IA0625AA	ND	ND						North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN06220437	SRS1930235	2017-01-20	2017-01-19	Assembled	227	412096	4830378	Salmonella enterica;97.55%	59	1914	3.61	SAL_PA9376AA_AS
SAL_QA5388AA_AS	SAL_IA5809AA	N13-01342	SRR5241835;ILLUMINA;Paired;;SRX2548684;1107858986;299	SAL_IA5809AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I				National Microbiology Laboratory		PRJNA369657	SRP099025	SAMN06279022	SRS1967252	2017-02-14	2017-02-08	Assembled	227	694188	4866382	Salmonella enterica;97.23%	46	2200	3.61	SAL_QA5388AA_AS
SAL_SA8599AA_AS	SAL_JA4572AA	PNUSAS013571	SRR5574775;ILLUMINA;Paired;;SRX2833117;1140134450;245	SAL_JA4572AA	Wild animal	ND	bovine feces	2017				North America	United States	Wisconsin						Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN06927772	SRS2207866	2017-05-18	2017-05-18	Assembled	225	431254	5058006	Salmonella enterica;71.99%	73	4349	3.61	SAL_SA8599AA_AS
SAL_YA7197AA_AS	SAL_NA8422AA	PNUSAS032725	SRR6663590;ILLUMINA;Paired;;SRX3640459;;	SAL_NA8422AA	Human	Human	Homo sapiens	2015	3			North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08437140	SRS2906659	2018-02-06	2018-02-01	Assembled	223	412162	4686832	Salmonella enterica;100.0%	60	1597	3.61	SAL_YA7197AA_AS
SAL_YA9614AA_AS	SAL_OA0740AA	UGCUC867	ERR2204175;ILLUMINA;Paired;250;ERX2258549;;	SAL_OA0740AA	Poultry	Invertebrates	Broiler meat	2011				South America	Colombia								I				UTRECHT UNIVERSITY		PRJEB23610	ERP105372	SAMEA104399976	ERS2017918	2018-02-17	2018-02-16	Assembled	217	412162	5065379	Salmonella enterica;75.47%	71	2281	3.61	SAL_YA9614AA_AS
SAL_TA2619AA_AS	SAL_JA8551AA	FDA00000858	SRR5647012;ILLUMINA;Paired;500;SRX2884620;1061274774;201	SAL_JA8551AA	Food	ND	pig ears	2005	7			North America	Canada							Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN02844243	SRS2252795	2017-06-07	2017-06-05	Assembled	216	195679	4895118	Salmonella enterica;95.45%	76	1749	3.61	SAL_TA2619AA_AS
SAL_YA8091AA_AS	SAL_NA9400AA	PNUSAS033499	SRR6682143;ILLUMINA;Paired;;SRX3658449;;	SAL_NA9400AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08481400	SRS2922297	2018-02-08	2018-02-07	Assembled	216	694063	4793067	Salmonella enterica;100.0%	41	1828	3.61	SAL_YA8091AA_AS
SAL_JA9710AA_AS	SAL_EA6198AA	FSIS1505054	SRR2970918;ILLUMINA;Paired;500;SRX1460311;1020504136;244	SAL_EA6198AA	Poultry	Avian	Raw Intact Chicken	2015				North America	United States	Arkansas						Heidelberg	I				Department of Agriculture - Food Safety and Inspection Service (US)		PRJNA242847	SRP040648	SAMN04311832	SRS1187729	2015-12-12	2015-12-03	Assembled	215	291737	4734056	Salmonella enterica;95.74%	53	3968	2.3	SAL_JA9710AA_AS
SAL_QA6543AA_AS	SAL_IA5799AA	N13-02934	SRR5241846;ILLUMINA;Paired;;SRX2548694;1047695402;299	SAL_IA5799AA	Poultry	Avian	Animal cecal content (chicken)	2011				North America	Canada	New Brunswick						Heidelberg	I				National Microbiology Laboratory		PRJNA369657	SRP099025	SAMN06278997	SRS1967262	2017-02-14	2017-02-08	Assembled	215	693848	4869847	Salmonella enterica;100.0%	43	2491	3.61	SAL_QA6543AA_AS
SAL_UA3093AA_AS	SAL_KA5792AA	PNUSAS018610	SRR5876864;ILLUMINA;Paired;;SRX3044366;1023734140;230	SAL_KA5792AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07417065	SRS2392046	2017-07-28	2017-07-27	Assembled	215	412096	4760863	Salmonella enterica;100.0%	40	1851	3.61	SAL_UA3093AA_AS
SAL_QA6404AA_AS	SAL_IA5807AA	N13-01366	SRR5241837;ILLUMINA;Paired;;SRX2548686;1047445000;250	SAL_IA5807AA	Poultry	Avian	Food aliquot (turkey)	2012				North America	Canada	Quebec						Heidelberg	I				National Microbiology Laboratory		PRJNA369657	SRP099025	SAMN06279012	SRS1967254	2017-02-14	2017-02-08	Assembled	214	356053	4876174	Salmonella enterica;100.0%	53	3883	3.61	SAL_QA6404AA_AS
SAL_QA5414AA_AS	SAL_IA6356AA	12-2552	SRR5236394;ILLUMINA;Paired;;SRX2543457;1047334708;298	SAL_IA6356AA	Human	Human	Human stool	2012	4			North America	Canada	Quebec						Heidelberg	I				National Microbiology Laboratory		PRJNA369657	SRP099025	SAMN06278943	SRS1962590	2017-02-14	2017-02-06	Assembled	214	694114	4876086	Salmonella enterica;97.37%	51	1987	3.61	SAL_QA5414AA_AS
SAL_KA4920AA_AS	SAL_FA1071AA	PNUSAS001281	SRR3185099;ILLUMINA;Paired;;SRX1598361;991704888;227	SAL_FA1071AA	Poultry	Avian		2015	10											Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN04497521	SRS1308336	2016-02-24	2016-02-24	Assembled	209	126948	4728609	Salmonella enterica;100.0%	106	7041	3.32	SAL_KA4920AA_AS
SAL_LA7661AA_AS	SAL_GA1730AA	SAL3277	SRR1840650;ILLUMINA;Paired;;SRX902684;983638348;98	SAL_GA1730AA	Livestock	Bovine	Cattle	2006												Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02368082	SRS865373	2016-06-30	2016-03-05	Assembled	208	238796	4717999	Salmonella enterica;98.24%	55	408	3.41	SAL_LA7661AA_AS
SAL_XA8005AA_AS	SAL_NA1243AA	ADRDL-1309	SRR6370459;ILLUMINA;Paired;;SRX3465789;1050095244;193	SAL_NA1243AA	ND	ND	Bovine intestine	2017				North America	United States	Minnesota						Heidelberg					South Dakota State University		PRJNA280335	SRP059853	SAMN08150385	SRS2753741	2017-12-14	2017-12-12	Assembled	204	428189	5146116	Salmonella enterica;73.13%	121	1642	3.61	SAL_XA8005AA_AS
SAL_QA6402AA_AS	SAL_IA5800AA	N13-01349	SRR5241844;ILLUMINA;Paired;;SRX2548693;987863110;299	SAL_IA5800AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I				National Microbiology Laboratory		PRJNA369657	SRP099025	SAMN06279044	SRS1967260	2017-02-14	2017-02-08	Assembled	203	439771	4862230	Salmonella enterica;97.3%	51	2033	3.61	SAL_QA6402AA_AS
SAL_ZA8722AA_AS	SAL_OA4273AA	S17-15381	SRR6893061;ILLUMINA;Paired;;SRX3843319;;	SAL_OA4273AA				2017												Heidelberg	I				USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBL		PRJNA434427	SRP136393	SAMN08793537	SRS3089003	2018-03-27	2018-03-24	Assembled	203	214163	4967642	Salmonella enterica;69.76%	120	38354	4	SAL_ZA8722AA_AS
SAL_XA8697AA_AS	SAL_NA1886AA	PNUSAS029667	SRR6380931;ILLUMINA;Paired;;SRX3474958;979840750;245	SAL_NA1886AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08163767	SRS2761331	2017-12-16	2017-12-15	Assembled	200	727705	4881670	Salmonella enterica;100.0%	40	3783	3.61	SAL_XA8697AA_AS
SAL_UA5426AA_AS	SAL_KA8133AA	2015AM-0624	SRR5927262;ILLUMINA;Paired;;SRX3087626;944204848;244	SAL_KA8133AA	ND	ND						North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07498505	SRS2425412	2017-08-11	2017-08-11	Assembled	199	725864	4722957	Salmonella enterica;100.0%	38	2739	3.61	SAL_UA5426AA_AS
SAL_LA7657AA_AS	SAL_GA1734AA	SAL3273	SRR1840646;ILLUMINA;Paired;;SRX902680;940923480;98	SAL_GA1734AA	Poultry	Avian	Gallus gallus; Chicken	2007												Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02368078	SRS865378	2016-06-30	2016-03-05	Assembled	196	246761	4788914	Salmonella enterica;100.0%	56	664	3.41	SAL_LA7657AA_AS
SAL_QA8897AA_AS	SAL_IA8235AA	PNUSAS008865	SRR5336190;ILLUMINA;Paired;;SRX2633609;966308640;220	SAL_IA8235AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN06449193	SRS2042842	2017-03-11	2017-03-10	Assembled	195	298801	4954301	Salmonella enterica;87.51%	49	2007	3.61	SAL_QA8897AA_AS
SAL_XA1618AA_AS	SAL_MA6992AA	PNUSAS025593	SRR6310657;ILLUMINA;Paired;;SRX3410935;930073872;142	SAL_MA6992AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN07981561	SRS2704162	2017-11-21	2017-11-20	Assembled	195	693690	4759457	Salmonella enterica;100.0%	48	656	3.61	SAL_XA1618AA_AS
SAL_QA6298AA_AS	SAL_IA5959AA	12-7080	SRR5239232;ILLUMINA;Paired;;SRX2546126;946982358;249	SAL_IA5959AA	Human	Human	Human stool	2012	10			North America	Canada	Quebec						Heidelberg	I				National Microbiology Laboratory		PRJNA369657	SRP099025	SAMN06278954	SRS1964985	2017-02-14	2017-02-07	Assembled	194	725308	4864257	Salmonella enterica;97.37%	51	3063	3.61	SAL_QA6298AA_AS
SAL_TA5923AA_AS	SAL_KA0859AA	PNUSAS013433	SRR5761383;ILLUMINA;Paired;;SRX2961168;925605198;147	SAL_KA0859AA	ND	ND						North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07253204	SRS2318029	2017-06-27	2017-06-27	Assembled	194	693684	4763572	Salmonella enterica;100.0%	56	599	3.61	SAL_TA5923AA_AS
SAL_WA5190AA_AS	SAL_MA2823AA	PNUSAS026228	SRR6216215;ILLUMINA;Paired;;SRX3324879;925417840;232	SAL_MA2823AA				2014				North America	United States	Wyoming											Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07811988	SRS2628590	2017-10-25	2017-10-25	Assembled	194	694173	4761575	Salmonella enterica;100.0%	40	1046	3.61	SAL_WA5190AA_AS
