ID	Aligned Bases	Reference bases	% Aligned Bases
snippy-SAL_CA1175AA_AS.scaffold	4722635	4983515	94.77
snippy-SAL_CA1183AA_AS.scaffold	4686696	4983515	94.04
snippy-SAL_CA1198AA_AS.scaffold	4782762	4983515	95.97
snippy-SAL_CA1204AA_AS.scaffold	4638161	4983515	93.07
snippy-SAL_CA1209AA_AS.scaffold	4743745	4983515	95.19
snippy-SAL_CA1217AA_AS.scaffold	4641692	4983515	93.14
snippy-SAL_CA1220AA_AS.scaffold	4779999	4983515	95.92
snippy-SAL_CA1234AA_AS.scaffold	4694864	4983515	94.21
snippy-SAL_CA1244AA_AS.scaffold	4704547	4983515	94.40
snippy-SAL_CA1250AA_AS.scaffold	4595752	4983515	92.22
snippy-SAL_CA1254AA_AS.scaffold	4812755	4983515	96.57
snippy-SAL_CA1261AA_AS.scaffold	4773177	4983515	95.78
snippy-SAL_CA1264AA_AS.scaffold	4698123	4983515	94.27
snippy-SAL_CA1273AA_AS.scaffold	4781530	4983515	95.95
snippy-SAL_CA1283AA_AS.scaffold	4694919	4983515	94.21
snippy-SAL_CA1299AA_AS.scaffold	4686069	4983515	94.03
snippy-SAL_CA1308AA_AS.scaffold	4654483	4983515	93.40
snippy-SAL_CA1309AA_AS.scaffold	4595322	4983515	92.21
snippy-SAL_CA1318AA_AS.scaffold	4685310	4983515	94.02
snippy-SAL_CA1327AA_AS.scaffold	4614843	4983515	92.60
snippy-SAL_CA1330AA_AS.scaffold	4690170	4983515	94.11
snippy-SAL_CA1339AA_AS.scaffold	4687655	4983515	94.06
snippy-SAL_CA1347AA_AS.scaffold	4695310	4983515	94.22
snippy-SAL_CA1359AA_AS.scaffold	4680145	4983515	93.91
snippy-SAL_CA1364AA_AS.scaffold	4844205	4983515	97.20
snippy-SAL_CA1366AA_AS.scaffold	4619945	4983515	92.70
snippy-SAL_CA1374AA_AS.scaffold	4680258	4983515	93.91
snippy-SAL_CA1375AA_AS.scaffold	4691170	4983515	94.13
snippy-SAL_CA1378AA_AS.scaffold	4616800	4983515	92.64
snippy-SAL_CA1380AA_AS.scaffold	4695209	4983515	94.21
snippy-SAL_CA1382AA_AS.scaffold	4683443	4983515	93.98
snippy-SAL_CA1389AA_AS.scaffold	4665833	4983515	93.63
snippy-SAL_CA1396AA_AS.scaffold	4686449	4983515	94.04
snippy-SAL_CA1403AA_AS.scaffold	4683824	4983515	93.99
snippy-SAL_CA1413AA_AS.scaffold	4696844	4983515	94.25
snippy-SAL_CA1414AA_AS.scaffold	4685402	4983515	94.02
snippy-SAL_CA1424AA_AS.scaffold	4683900	4983515	93.99
snippy-SAL_CA1430AA_AS.scaffold	4614585	4983515	92.60
snippy-SAL_CA1433AA_AS.scaffold	4697045	4983515	94.25
snippy-SAL_CA1438AA_AS.scaffold	4687679	4983515	94.06
snippy-SAL_CA1445AA_AS.scaffold	4678400	4983515	93.88
snippy-SAL_CA1448AA_AS.scaffold	4790215	4983515	96.12
snippy-SAL_CA1455AA_AS.scaffold	4840118	4983515	97.12
snippy-SAL_CA1464AA_AS.scaffold	4693908	4983515	94.19
snippy-SAL_CA1483AA_AS.scaffold	4655779	4983515	93.42
snippy-SAL_CA1489AA_AS.scaffold	4787791	4983515	96.07
snippy-SAL_CA1500AA_AS.scaffold	4777922	4983515	95.87
snippy-SAL_CA1505AA_AS.scaffold	4655646	4983515	93.42
snippy-SAL_CA1517AA_AS.scaffold	4706409	4983515	94.44
snippy-SAL_CA1521AA_AS.scaffold	4655496	4983515	93.42
snippy-SAL_CA1525AA_AS.scaffold	4845009	4983515	97.22
snippy-SAL_CA1536AA_AS.scaffold	4788502	4983515	96.09
snippy-SAL_CA1545AA_AS.scaffold	4778879	4983515	95.89
snippy-SAL_CA1561AA_AS.scaffold	4844298	4983515	97.21
snippy-SAL_CA1569AA_AS.scaffold	4777905	4983515	95.87
snippy-SAL_CA1574AA_AS.scaffold	4777354	4983515	95.86
snippy-SAL_CA1575AA_AS.scaffold	4778632	4983515	95.89
snippy-SAL_CA1583AA_AS.scaffold	4803978	4983515	96.40
snippy-SAL_CA1600AA_AS.scaffold	4777063	4983515	95.86
snippy-SAL_CA1609AA_AS.scaffold	4698215	4983515	94.28
snippy-SAL_CA1615AA_AS.scaffold	4779814	4983515	95.91
snippy-SAL_CA1640AA_AS.scaffold	4781421	4983515	95.94
snippy-SAL_CA1641AA_AS.scaffold	4699763	4983515	94.31
snippy-SAL_CA1648AA_AS.scaffold	4693049	4983515	94.17
snippy-SAL_CA1666AA_AS.scaffold	4699648	4983515	94.30
snippy-SAL_CA1673AA_AS.scaffold	4694644	4983515	94.20
snippy-SAL_CA1675AA_AS.scaffold	4790213	4983515	96.12
snippy-SAL_CA1682AA_AS.scaffold	4701928	4983515	94.35
snippy-SAL_CA1693AA_AS.scaffold	4798687	4983515	96.29
snippy-SAL_CA1699AA_AS.scaffold	4698900	4983515	94.29
snippy-SAL_CA1702AA_AS.scaffold	4706147	4983515	94.43
snippy-SAL_CA1708AA_AS.scaffold	4777971	4983515	95.88
snippy-SAL_CA1720AA_AS.scaffold	4706038	4983515	94.43
snippy-SAL_CA1745AA_AS.scaffold	4695364	4983515	94.22
snippy-SAL_CA1747AA_AS.scaffold	4695238	4983515	94.22
snippy-SAL_CA1753AA_AS.scaffold	4702709	4983515	94.37
snippy-SAL_CA1756AA_AS.scaffold	4798537	4983515	96.29
snippy-SAL_CA1770AA_AS.scaffold	4694971	4983515	94.21
snippy-SAL_CA1772AA_AS.scaffold	4699931	4983515	94.31
snippy-SAL_CA1793AA_AS.scaffold	4696791	4983515	94.25
snippy-SAL_CA1795AA_AS.scaffold	4706386	4983515	94.44
snippy-SAL_CA1801AA_AS.scaffold	4789986	4983515	96.12
snippy-SAL_CA1802AA_AS.scaffold	4628693	4983515	92.88
snippy-SAL_CA1819AA_AS.scaffold	4844611	4983515	97.21
snippy-SAL_CA1824AA_AS.scaffold	4798466	4983515	96.29
snippy-SAL_CA1833AA_AS.scaffold	4730718	4983515	94.93
snippy-SAL_CA1859AA_AS.scaffold	4730831	4983515	94.93
snippy-SAL_CA1867AA_AS.scaffold	4772042	4983515	95.76
snippy-SAL_CA1881AA_AS.scaffold	4772640	4983515	95.77
snippy-SAL_CA1897AA_AS.scaffold	4694310	4983515	94.20
snippy-SAL_CA1912AA_AS.scaffold	4692999	4983515	94.17
snippy-SAL_CA1920AA_AS.scaffold	4694559	4983515	94.20
snippy-SAL_CA1942AA_AS.scaffold	4694427	4983515	94.20
snippy-SAL_CA1961AA_AS.scaffold	4684440	4983515	94.00
snippy-SAL_CA1963AA_AS.scaffold	4778313	4983515	95.88
snippy-SAL_CA1974AA_AS.scaffold	4786661	4983515	96.05
snippy-SAL_CA1978AA_AS.scaffold	4656110	4983515	93.43
snippy-SAL_CA1986AA_AS.scaffold	4642072	4983515	93.15
snippy-SAL_CA1991AA_AS.scaffold	4778964	4983515	95.90
snippy-SAL_CA2010AA_AS.scaffold	4698291	4983515	94.28
snippy-SAL_CA2012AA_AS.scaffold	4692496	4983515	94.16
snippy-SAL_CA2033AA_AS.scaffold	4777275	4983515	95.86
snippy-SAL_CA2040AA_AS.scaffold	4742142	4983515	95.16
snippy-SAL_CA2052AA_AS.scaffold	4616689	4983515	92.64
snippy-SAL_CA2063AA_AS.scaffold	4616146	4983515	92.63
snippy-SAL_CA2066AA_AS.scaffold	4694903	4983515	94.21
snippy-SAL_CA2084AA_AS.scaffold	4753053	4983515	95.38
snippy-SAL_CA2101AA_AS.scaffold	4697516	4983515	94.26
snippy-SAL_CA2106AA_AS.scaffold	4697156	4983515	94.25
snippy-SAL_CA2110AA_AS.scaffold	4785587	4983515	96.03
snippy-SAL_CA2117AA_AS.scaffold	4776177	4983515	95.84
snippy-SAL_CA2135AA_AS.scaffold	4695689	4983515	94.22
snippy-SAL_CA2140AA_AS.scaffold	4783794	4983515	95.99
snippy-SAL_CA2145AA_AS.scaffold	4695082	4983515	94.21
snippy-SAL_CA2158AA_AS.scaffold	4704080	4983515	94.39
snippy-SAL_CA2174AA_AS.scaffold	4665683	4983515	93.62
snippy-SAL_CA2177AA_AS.scaffold	4655666	4983515	93.42
snippy-SAL_CA2186AA_AS.scaffold	4684042	4983515	93.99
snippy-SAL_CA2197AA_AS.scaffold	4836486	4983515	97.05
snippy-SAL_CA2202AA_AS.scaffold	4777844	4983515	95.87
snippy-SAL_CA2216AA_AS.scaffold	4786847	4983515	96.05
snippy-SAL_CA2217AA_AS.scaffold	4688529	4983515	94.08
snippy-SAL_CA2225AA_AS.scaffold	4807936	4983515	96.48
snippy-SAL_CA2229AA_AS.scaffold	4698695	4983515	94.28
snippy-SAL_CA2239AA_AS.scaffold	4782295	4983515	95.96
snippy-SAL_CA2246AA_AS.scaffold	4772022	4983515	95.76
snippy-SAL_CA2265AA_AS.scaffold	4784445	4983515	96.01
snippy-SAL_CA2285AA_AS.scaffold	4702142	4983515	94.35
snippy-SAL_CA2295AA_AS.scaffold	4847652	4983515	97.27
snippy-SAL_CA2303AA_AS.scaffold	4655444	4983515	93.42
snippy-SAL_CA2306AA_AS.scaffold	4770416	4983515	95.72
snippy-SAL_CA2325AA_AS.scaffold	4694410	4983515	94.20
snippy-SAL_CA2327AA_AS.scaffold	4690530	4983515	94.12
snippy-SAL_CA2343AA_AS.scaffold	4695043	4983515	94.21
snippy-SAL_CA2352AA_AS.scaffold	4693226	4983515	94.18
snippy-SAL_CA2361AA_AS.scaffold	4772588	4983515	95.77
snippy-SAL_CA2371AA_AS.scaffold	4694664	4983515	94.20
snippy-SAL_CA2379AA_AS.scaffold	4695303	4983515	94.22
snippy-SAL_CA2388AA_AS.scaffold	4701867	4983515	94.35
snippy-SAL_CA2396AA_AS.scaffold	4695067	4983515	94.21
snippy-SAL_CA2414AA_AS.scaffold	4655997	4983515	93.43
snippy-SAL_CA2415AA_AS.scaffold	4694873	4983515	94.21
snippy-SAL_CA2417AA_AS.scaffold	4694699	4983515	94.20
snippy-SAL_CA2430AA_AS.scaffold	4783901	4983515	95.99
snippy-SAL_CA2435AA_AS.scaffold	4780281	4983515	95.92
snippy-SAL_CA2443AA_AS.scaffold	4778271	4983515	95.88
snippy-SAL_CA2452AA_AS.scaffold	4694231	4983515	94.20
snippy-SAL_CA2455AA_AS.scaffold	4695474	4983515	94.22
snippy-SAL_CA2462AA_AS.scaffold	4695409	4983515	94.22
snippy-SAL_CA2464AA_AS.scaffold	4688594	4983515	94.08
snippy-SAL_CA2481AA_AS.scaffold	4694887	4983515	94.21
snippy-SAL_CA2491AA_AS.scaffold	4694903	4983515	94.21
snippy-SAL_CA2503AA_AS.scaffold	4780268	4983515	95.92
snippy-SAL_CA2511AA_AS.scaffold	4695017	4983515	94.21
snippy-SAL_CA2521AA_AS.scaffold	4787112	4983515	96.06
snippy-SAL_CA2523AA_AS.scaffold	4694742	4983515	94.21
snippy-SAL_CA2539AA_AS.scaffold	4694559	4983515	94.20
snippy-SAL_CA2542AA_AS.scaffold	4697852	4983515	94.27
snippy-SAL_CA2548AA_AS.scaffold	4782017	4983515	95.96
snippy-SAL_CA2560AA_AS.scaffold	4789615	4983515	96.11
snippy-SAL_CA2576AA_AS.scaffold	4655576	4983515	93.42
snippy-SAL_CA2577AA_AS.scaffold	4699602	4983515	94.30
snippy-SAL_CA2592AA_AS.scaffold	4695791	4983515	94.23
snippy-SAL_CA2603AA_AS.scaffold	4781739	4983515	95.95
snippy-SAL_CA2618AA_AS.scaffold	4706098	4983515	94.43
snippy-SAL_CA2619AA_AS.scaffold	4703101	4983515	94.37
snippy-SAL_CA2634AA_AS.scaffold	4694682	4983515	94.20
snippy-SAL_CA2636AA_AS.scaffold	4698014	4983515	94.27
snippy-SAL_CA2652AA_AS.scaffold	4781921	4983515	95.95
snippy-SAL_CA2667AA_AS.scaffold	4703904	4983515	94.39
snippy-SAL_CA2668AA_AS.scaffold	4696837	4983515	94.25
snippy-SAL_CA2685AA_AS.scaffold	4784063	4983515	96.00
snippy-SAL_CA2693AA_AS.scaffold	4783286	4983515	95.98
snippy-SAL_CA2702AA_AS.scaffold	4785541	4983515	96.03
snippy-SAL_CA2721AA_AS.scaffold	4787181	4983515	96.06
snippy-SAL_CA2739AA_AS.scaffold	4787551	4983515	96.07
snippy-SAL_CA2765AA_AS.scaffold	4775132	4983515	95.82
snippy-SAL_CA2782AA_AS.scaffold	4722169	4983515	94.76
snippy-SAL_CA2792AA_AS.scaffold	4707294	4983515	94.46
snippy-SAL_CA2813AA_AS.scaffold	4787812	4983515	96.07
snippy-SAL_CA2833AA_AS.scaffold	4778140	4983515	95.88
snippy-SAL_CA2848AA_AS.scaffold	4689728	4983515	94.10
snippy-SAL_CA2856AA_AS.scaffold	4693153	4983515	94.17
snippy-SAL_CA2872AA_AS.scaffold	4722181	4983515	94.76
snippy-SAL_CA2891AA_AS.scaffold	4707855	4983515	94.47
snippy-SAL_CA2919AA_AS.scaffold	4778129	4983515	95.88
snippy-SAL_CA2937AA_AS.scaffold	4782935	4983515	95.98
snippy-SAL_CA2946AA_AS.scaffold	4778904	4983515	95.89
snippy-SAL_CA2973AA_AS.scaffold	4695090	4983515	94.21
snippy-SAL_CA2979AA_AS.scaffold	4706087	4983515	94.43
snippy-SAL_CA3014AA_AS.scaffold	4695277	4983515	94.22
snippy-SAL_CA3062AA_AS.scaffold	4697197	4983515	94.25
snippy-SAL_CA3068AA_AS.scaffold	4698607	4983515	94.28
snippy-SAL_CA3083AA_AS.scaffold	4694724	4983515	94.21
snippy-SAL_CA3121AA_AS.scaffold	4648062	4983515	93.27
snippy-SAL_CA3126AA_AS.scaffold	4694900	4983515	94.21
snippy-SAL_CA3141AA_AS.scaffold	4780353	4983515	95.92
snippy-SAL_CA3167AA_AS.scaffold	4776569	4983515	95.85
snippy-SAL_CA3192AA_AS.scaffold	4688811	4983515	94.09
snippy-SAL_CA3225AA_AS.scaffold	4692757	4983515	94.17
snippy-SAL_CA3256AA_AS.scaffold	4687551	4983515	94.06
snippy-SAL_CA3289AA_AS.scaffold	4687188	4983515	94.05
snippy-SAL_CA3569AA_AS.scaffold	4726166	4983515	94.84
snippy-SAL_CA3585AA_AS.scaffold	4592255	4983515	92.15
snippy-SAL_CA4494AA_AS.scaffold	4663163	4983515	93.57
snippy-SAL_CA4574AA_AS.scaffold	4692462	4983515	94.16
snippy-SAL_CA4586AA_AS.scaffold	4685245	4983515	94.01
snippy-SAL_CA4601AA_AS.scaffold	4777502	4983515	95.87
snippy-SAL_CA4611AA_AS.scaffold	4665602	4983515	93.62
snippy-SAL_CA4617AA_AS.scaffold	4808848	4983515	96.50
snippy-SAL_CA4619AA_AS.scaffold	4695743	4983515	94.23
snippy-SAL_CA4633AA_AS.scaffold	4693191	4983515	94.17
snippy-SAL_CA4635AA_AS.scaffold	4706394	4983515	94.44
snippy-SAL_CA4641AA_AS.scaffold	4692809	4983515	94.17
snippy-SAL_CA4643AA_AS.scaffold	4836312	4983515	97.05
snippy-SAL_CA4652AA_AS.scaffold	4918844	4983515	98.70
snippy-SAL_CA4657AA_AS.scaffold	4917795	4983515	98.68
snippy-SAL_CA4663AA_AS.scaffold	4842842	4983515	97.18
snippy-SAL_CA4667AA_AS.scaffold	4708119	4983515	94.47
snippy-SAL_CA4671AA_AS.scaffold	4770276	4983515	95.72
snippy-SAL_CA4675AA_AS.scaffold	4700156	4983515	94.31
snippy-SAL_CA4683AA_AS.scaffold	4696012	4983515	94.23
snippy-SAL_CA4687AA_AS.scaffold	4651715	4983515	93.34
snippy-SAL_CA4691AA_AS.scaffold	4695247	4983515	94.22
snippy-SAL_CA4694AA_AS.scaffold	4779003	4983515	95.90
snippy-SAL_CA4704AA_AS.scaffold	4695309	4983515	94.22
snippy-SAL_CA4706AA_AS.scaffold	4777026	4983515	95.86
snippy-SAL_CA4710AA_AS.scaffold	4697371	4983515	94.26
snippy-SAL_CA4832AA_AS.scaffold	4786449	4983515	96.05
snippy-SAL_CA4838AA_AS.scaffold	4695691	4983515	94.22
snippy-SAL_CA4840AA_AS.scaffold	4769061	4983515	95.70
snippy-SAL_CA4844AA_AS.scaffold	4695017	4983515	94.21
snippy-SAL_CA4848AA_AS.scaffold	4703458	4983515	94.38
snippy-SAL_CA4854AA_AS.scaffold	4791051	4983515	96.14
snippy-SAL_CA4860AA_AS.scaffold	4788229	4983515	96.08
snippy-SAL_CA4864AA_AS.scaffold	4694659	4983515	94.20
snippy-SAL_CA4866AA_AS.scaffold	4716470	4983515	94.64
snippy-SAL_CA4872AA_AS.scaffold	4784511	4983515	96.01
snippy-SAL_CA4878AA_AS.scaffold	4802445	4983515	96.37
snippy-SAL_CA4883AA_AS.scaffold	4775475	4983515	95.83
snippy-SAL_CA4884AA_AS.scaffold	4695933	4983515	94.23
snippy-SAL_CA4885AA_AS.scaffold	4694304	4983515	94.20
snippy-SAL_CA4886AA_AS.scaffold	4788660	4983515	96.09
snippy-SAL_CA4889AA_AS.scaffold	4694795	4983515	94.21
snippy-SAL_CA4892AA_AS.scaffold	4779271	4983515	95.90
snippy-SAL_CA4893AA_AS.scaffold	4695431	4983515	94.22
snippy-SAL_CA4899AA_AS.scaffold	4844830	4983515	97.22
snippy-SAL_CA4903AA_AS.scaffold	4904840	4983515	98.42
snippy-SAL_CA4906AA_AS.scaffold	4693273	4983515	94.18
snippy-SAL_CA4910AA_AS.scaffold	4704291	4983515	94.40
snippy-SAL_CA4913AA_AS.scaffold	4903602	4983515	98.40
snippy-SAL_CA4915AA_AS.scaffold	4751934	4983515	95.35
