[#-
Group1 category: group Group1: B
Group2 category: group Group2: !B---
Name	GroupOne (+)	GroupOne (-)	GroupTwo (+)	GroupTwo (-)	pValue	Ratio
779359	1	0	0	14	1.0	1.0
1016820	1	0	0	14	1.0	1.0
457347	1	0	0	14	1.0	1.0
1236730	1	0	0	14	1.0	1.0
979216	1	0	0	14	1.0	1.0
5028223	1	0	0	14	1.0	1.0
4240640	1	0	0	14	1.0	1.0
4466109	1	0	0	14	1.0	1.0
5287561	1	0	0	14	1.0	1.0
5027653	1	0	0	14	1.0	1.0
3296266	1	0	0	14	1.0	1.0
219800	1	0	0	14	1.0	1.0
115391	1	0	0	14	1.0	1.0
2954633	1	0	0	14	1.0	1.0
2824282	1	0	0	14	1.0	1.0
1918890	1	0	0	14	1.0	1.0
3559257	1	0	0	14	1.0	1.0
339193	1	0	0	14	1.0	1.0
177870	1	0	0	14	1.0	1.0
4632407	1	0	0	14	1.0	1.0
2450043	1	0	0	14	1.0	1.0
4297639	1	0	0	14	1.0	1.0
3475090	1	0	0	14	1.0	1.0
3604940	1	0	0	14	1.0	1.0
4381240	1	0	0	14	1.0	1.0
2367000	1	0	0	14	1.0	1.0
3623510	1	0	0	14	1.0	1.0
5026258	1	0	0	14	1.0	1.0
4943275	1	0	0	14	1.0	1.0
131050	1	0	0	14	1.0	1.0
3971655	1	0	0	14	1.0	1.0
3339752	1	0	0	14	1.0	1.0
3964503	1	0	0	14	1.0	1.0
932792	1	0	0	14	1.0	1.0
708517	1	0	0	14	1.0	1.0
5311297	1	0	0	14	1.0	1.0
163808	1	0	0	14	1.0	1.0
4063959	1	0	0	14	1.0	1.0
4173683	1	0	0	14	1.0	1.0
556426	1	0	0	14	1.0	1.0
4201650	1	0	0	14	1.0	1.0
1670516	1	0	0	14	1.0	1.0
4635640	1	0	0	14	1.0	1.0
3946037	1	0	0	14	1.0	1.0
3225466	1	0	0	14	1.0	1.0
4825661	1	0	0	14	1.0	1.0
2555977	1	0	0	14	1.0	1.0
4942423	1	0	0	14	1.0	1.0
2140724	1	0	0	14	1.0	1.0
4312125	1	0	0	14	1.0	1.0
3160727	1	0	0	14	1.0	1.0
626194	1	0	0	14	1.0	1.0
624725	1	0	0	14	1.0	1.0
512660	1	0	0	14	1.0	1.0
4224893	1	0	0	14	1.0	1.0
4946236	1	0	0	14	1.0	1.0
3942099	1	0	0	14	1.0	1.0
170260	1	0	0	14	1.0	1.0
331139	1	0	0	14	1.0	1.0
3972777	1	0	0	14	1.0	1.0
4377731	1	0	0	14	1.0	1.0
4463061	1	0	0	14	1.0	1.0
2878283	1	0	0	14	1.0	1.0
946805	1	0	0	14	1.0	1.0
365314	1	0	0	14	1.0	1.0
3289147	1	0	0	14	1.0	1.0
2955281	1	0	0	14	1.0	1.0
1075351	1	0	0	14	1.0	1.0
2565040	1	0	0	14	1.0	1.0
4384834	1	0	0	14	1.0	1.0
1079737	1	0	0	14	1.0	1.0
5224122	1	0	0	14	1.0	1.0
1476400	1	0	0	14	1.0	1.0
2486181	1	0	0	14	1.0	1.0
5106413	1	0	0	14	1.0	1.0
1138283	1	0	0	14	1.0	1.0
3548615	1	0	0	14	1.0	1.0
886482	1	0	0	14	1.0	1.0
3616455	1	0	0	14	1.0	1.0
2153904	1	0	0	14	1.0	1.0
5129861	1	0	0	14	1.0	1.0
79466	1	0	0	14	1.0	1.0
2571544	1	0	0	14	1.0	1.0
1009910	1	0	0	14	1.0	1.0
5119493	1	0	0	14	1.0	1.0
2952929	1	0	0	14	1.0	1.0
802491	1	0	0	14	1.0	1.0
1039188	1	0	0	14	1.0	1.0
4469593	1	0	0	14	1.0	1.0
1000401	1	0	0	14	1.0	1.0
1311569	1	0	0	14	1.0	1.0
1021589	1	0	0	14	1.0	1.0
4319168	1	0	0	14	1.0	1.0
940803	1	0	0	14	1.0	1.0
3248579	1	0	0	14	1.0	1.0
1719279	1	0	0	14	1.0	1.0
1901610	1	0	0	14	1.0	1.0
3681424	1	0	0	14	1.0	1.0
790008	1	0	0	14	1.0	1.0
28392	1	0	0	14	1.0	1.0
4235662	1	0	0	14	1.0	1.0
2520977	1	0	0	14	1.0	1.0
176239	1	0	0	14	1.0	1.0
3885578	1	0	0	14	1.0	1.0
3685068	1	0	0	14	1.0	1.0
2466446	1	0	0	14	1.0	1.0
4537162	1	0	0	14	1.0	1.0
992013	1	0	0	14	1.0	1.0
889429	1	0	0	14	1.0	1.0
4555038	1	0	0	14	1.0	1.0
5460432	1	0	0	14	1.0	1.0
2835994	1	0	0	14	1.0	1.0
3706394	1	0	0	14	1.0	1.0
4570974	1	0	0	14	1.0	1.0
2490238	1	0	0	14	1.0	1.0
2751870	1	0	0	14	1.0	1.0
5334744	1	0	0	14	1.0	1.0
4114099	1	0	0	14	1.0	1.0
2794411	1	0	0	14	1.0	1.0
1140811	1	0	0	14	1.0	1.0
3280751	1	0	0	14	1.0	1.0
2888150	1	0	0	14	1.0	1.0
3441615	1	0	0	14	1.0	1.0
5158821	1	0	0	14	1.0	1.0
2949558	1	0	0	14	1.0	1.0
4499947	1	0	0	14	1.0	1.0
4770095	1	0	0	14	1.0	1.0
1824902	1	0	0	14	1.0	1.0
3577356	1	0	0	14	1.0	1.0
3403828	1	0	0	14	1.0	1.0
167574	1	0	0	14	1.0	1.0
10041	1	0	0	14	1.0	1.0
3132092	1	0	0	14	1.0	1.0
978893	1	0	0	14	1.0	1.0
3611300	1	0	0	14	1.0	1.0
5328442	1	0	0	14	1.0	1.0
2988441	1	0	0	14	1.0	1.0
4020082	1	0	0	14	1.0	1.0
2538600	1	0	0	14	1.0	1.0
3147966	1	0	0	14	1.0	1.0
4872041	1	0	0	14	1.0	1.0
2439716	1	0	0	14	1.0	1.0
4073666	1	0	0	14	1.0	1.0
1113987	1	0	0	14	1.0	1.0
3820294	1	0	0	14	1.0	1.0
5340493	1	0	0	14	1.0	1.0
488093	1	0	0	14	1.0	1.0
1683752	1	0	0	14	1.0	1.0
2396062	1	0	0	14	1.0	1.0
3311130	1	0	0	14	1.0	1.0
4380742	1	0	0	14	1.0	1.0
83629	1	0	0	14	1.0	1.0
969716	1	0	0	14	1.0	1.0
2793098	1	0	0	14	1.0	1.0
5106350	1	0	0	14	1.0	1.0
4956035	1	0	0	14	1.0	1.0
962753	1	0	0	14	1.0	1.0
4771311	1	0	0	14	1.0	1.0
2995205	1	0	0	14	1.0	1.0
5415685	1	0	0	14	1.0	1.0
188601	1	0	0	14	1.0	1.0
524005	1	0	0	14	1.0	1.0
937412	1	0	0	14	1.0	1.0
3888986	1	0	0	14	1.0	1.0
1008562	1	0	0	14	1.0	1.0
4785767	1	0	0	14	1.0	1.0
3469802	1	0	0	14	1.0	1.0
3043297	1	0	0	14	1.0	1.0
1105157	1	0	0	14	1.0	1.0
1472707	1	0	0	14	1.0	1.0
4652672	1	0	0	14	1.0	1.0
3566332	1	0	0	14	1.0	1.0
4879718	1	0	0	14	1.0	1.0
476980	1	0	0	14	1.0	1.0
2285397	1	0	0	14	1.0	1.0
299585	1	0	0	14	1.0	1.0
4629209	1	0	0	14	1.0	1.0
3026029	1	0	0	14	1.0	1.0
335049	1	0	0	14	1.0	1.0
2551670	1	0	0	14	1.0	1.0
2763732	1	0	0	14	1.0	1.0
2304955	1	0	0	14	1.0	1.0
2299631	1	0	0	14	1.0	1.0
2768478	1	0	0	14	1.0	1.0
4793474	1	0	0	14	1.0	1.0
5409859	1	0	0	14	1.0	1.0
1115884	1	0	0	14	1.0	1.0
2655288	1	0	0	14	1.0	1.0
4645724	1	0	0	14	1.0	1.0
1613472	1	0	0	14	1.0	1.0
789590	1	0	0	14	1.0	1.0
337227	1	0	0	14	1.0	1.0
3392931	1	0	0	14	1.0	1.0
2871886	1	0	0	14	1.0	1.0
3118287	1	0	0	14	1.0	1.0
69104	1	0	0	14	1.0	1.0
286619	1	0	0	14	1.0	1.0
3294909	1	0	0	14	1.0	1.0
3397990	1	0	0	14	1.0	1.0
749420	1	0	0	14	1.0	1.0
3236790	1	0	0	14	1.0	1.0
3774672	1	0	0	14	1.0	1.0
4327860	1	0	0	14	1.0	1.0
5169591	1	0	0	14	1.0	1.0
5307386	1	0	0	14	1.0	1.0
1822665	1	0	0	14	1.0	1.0
5136476	1	0	0	14	1.0	1.0
1496837	1	0	0	14	1.0	1.0
2306966	1	0	0	14	1.0	1.0
1833380	1	0	0	14	1.0	1.0
2887142	1	0	0	14	1.0	1.0
4312662	1	0	0	14	1.0	1.0
1232837	1	0	0	14	1.0	1.0
4100160	1	0	0	14	1.0	1.0
3125148	1	0	0	14	1.0	1.0
2655213	1	0	0	14	1.0	1.0
4850629	1	0	0	14	1.0	1.0
4577690	1	0	0	14	1.0	1.0
509329	1	0	0	14	1.0	1.0
4992291	1	0	0	14	1.0	1.0
2973308	1	0	0	14	1.0	1.0
3035779	1	0	0	14	1.0	1.0
164333	1	0	0	14	1.0	1.0
4783822	1	0	0	14	1.0	1.0
5027257	1	0	0	14	1.0	1.0
287021	1	0	0	14	1.0	1.0
4286817	1	0	0	14	1.0	1.0
3683422	1	0	0	14	1.0	1.0
5189359	1	0	0	14	1.0	1.0
4486590	1	0	0	14	1.0	1.0
3511495	1	0	0	14	1.0	1.0
4443584	1	0	0	14	1.0	1.0
4697208	1	0	0	14	1.0	1.0
4258577	1	0	0	14	1.0	1.0
3603039	1	0	0	14	1.0	1.0
4284118	1	0	0	14	1.0	1.0
4760704	1	0	0	14	1.0	1.0
3824298	1	0	0	14	1.0	1.0
806473	1	0	0	14	1.0	1.0
3472882	1	0	0	14	1.0	1.0
2090498	1	0	0	14	1.0	1.0
4327428	1	0	0	14	1.0	1.0
2419174	1	0	0	14	1.0	1.0
5170993	1	0	0	14	1.0	1.0
4895499	1	0	0	14	1.0	1.0
2808086	1	0	0	14	1.0	1.0
486262	1	0	0	14	1.0	1.0
1670552	1	0	0	14	1.0	1.0
190424	1	0	0	14	1.0	1.0
4848480	1	0	0	14	1.0	1.0
169774	1	0	0	14	1.0	1.0
4680929	1	0	0	14	1.0	1.0
2558857	1	0	0	14	1.0	1.0
11323	1	0	0	14	1.0	1.0
3151150	1	0	0	14	1.0	1.0
4957384	1	0	0	14	1.0	1.0
2475248	1	0	0	14	1.0	1.0
635334	1	0	0	14	1.0	1.0
2447814	1	0	0	14	1.0	1.0
3946763	1	0	0	14	1.0	1.0
2488918	1	0	0	14	1.0	1.0
5219034	1	0	0	14	1.0	1.0
5246896	1	0	0	14	1.0	1.0
4196585	1	0	0	14	1.0	1.0
5306231	1	0	0	14	1.0	1.0
1829848	1	0	0	14	1.0	1.0
570736	1	0	0	14	1.0	1.0
1085886	1	0	0	14	1.0	1.0
5229204	1	0	0	14	1.0	1.0
4866637	1	0	0	14	1.0	1.0
3576931	1	0	0	14	1.0	1.0
3845170	1	0	0	14	1.0	1.0
96959	1	0	0	14	1.0	1.0
178677	1	0	0	14	1.0	1.0
343505	1	0	0	14	1.0	1.0
33338	1	0	0	14	1.0	1.0
4756301	1	0	0	14	1.0	1.0
3186132	1	0	0	14	1.0	1.0
1013261	1	0	0	14	1.0	1.0
3299955	1	0	0	14	1.0	1.0
3108501	1	0	0	14	1.0	1.0
4020622	1	0	0	14	1.0	1.0
2029278	1	0	0	14	1.0	1.0
3073939	1	0	0	14	1.0	1.0
765026	1	0	0	14	1.0	1.0
3263613	1	0	0	14	1.0	1.0
1010048	1	0	0	14	1.0	1.0
3708709	1	0	0	14	1.0	1.0
1123845	1	0	0	14	1.0	1.0
4095491	1	0	0	14	1.0	1.0
4046752	1	0	0	14	1.0	1.0
2945415	1	0	0	14	1.0	1.0
1638930	1	0	0	14	1.0	1.0
5097948	1	0	0	14	1.0	1.0
1524174	1	0	0	14	1.0	1.0
25153	1	0	0	14	1.0	1.0
3826951	1	0	0	14	1.0	1.0
342612	1	0	0	14	1.0	1.0
3095489	1	0	0	14	1.0	1.0
4143947	1	0	0	14	1.0	1.0
871831	1	0	0	14	1.0	1.0
1105470	1	0	0	14	1.0	1.0
2763123	1	0	0	14	1.0	1.0
4538493	1	0	0	14	1.0	1.0
3296806	1	0	0	14	1.0	1.0
2997690	1	0	0	14	1.0	1.0
4635705	1	0	0	14	1.0	1.0
1755370	1	0	0	14	1.0	1.0
3717312	1	0	0	14	1.0	1.0
76232	1	0	0	14	1.0	1.0
3444821	1	0	0	14	1.0	1.0
2816089	1	0	0	14	1.0	1.0
4423173	1	0	0	14	1.0	1.0
4234584	1	0	0	14	1.0	1.0
2272214	1	0	0	14	1.0	1.0
430951	1	0	0	14	1.0	1.0
1024047	1	0	0	14	1.0	1.0
4951764	1	0	0	14	1.0	1.0
3073405	1	0	0	14	1.0	1.0
3613522	1	0	0	14	1.0	1.0
2948438	1	0	0	14	1.0	1.0
287339	1	0	0	14	1.0	1.0
5489147	1	0	0	14	1.0	1.0
935115	1	0	0	14	1.0	1.0
3225080	1	0	0	14	1.0	1.0
133531	1	0	0	14	1.0	1.0
1536528	1	0	0	14	1.0	1.0
236630	1	0	0	14	1.0	1.0
139340	1	0	0	14	1.0	1.0
5309300	1	0	0	14	1.0	1.0
3550250	1	0	0	14	1.0	1.0
2516675	1	0	0	14	1.0	1.0
66916	1	0	0	14	1.0	1.0
3515110	1	0	0	14	1.0	1.0
4083900	1	0	0	14	1.0	1.0
3396751	1	0	0	14	1.0	1.0
3144703	1	0	0	14	1.0	1.0
3268818	1	0	0	14	1.0	1.0
3817609	1	0	0	14	1.0	1.0
1114713	1	0	0	14	1.0	1.0
2994798	1	0	0	14	1.0	1.0
4452209	1	0	0	14	1.0	1.0
687744	1	0	0	14	1.0	1.0
1643323	1	0	0	14	1.0	1.0
3438130	1	0	0	14	1.0	1.0
3835627	1	0	0	14	1.0	1.0
4684125	1	0	0	14	1.0	1.0
2054674	1	0	0	14	1.0	1.0
1524453	1	0	0	14	1.0	1.0
862659	1	0	0	14	1.0	1.0
4964548	1	0	0	14	1.0	1.0
91293	1	0	0	14	1.0	1.0
2792310	1	0	0	14	1.0	1.0
2339810	1	0	0	14	1.0	1.0
509512	1	0	0	14	1.0	1.0
2074214	1	0	0	14	1.0	1.0
4311494	1	0	0	14	1.0	1.0
2754958	1	0	0	14	1.0	1.0
3248540	1	0	0	14	1.0	1.0
805173	1	0	0	14	1.0	1.0
3003594	1	0	0	14	1.0	1.0
3606256	1	0	0	14	1.0	1.0
4067421	1	0	0	14	1.0	1.0
1539433	1	0	0	14	1.0	1.0
948564	1	0	0	14	1.0	1.0
3908233	1	0	0	14	1.0	1.0
183103	1	0	0	14	1.0	1.0
3254325	1	0	0	14	1.0	1.0
2410995	1	0	0	14	1.0	1.0
4324285	1	0	0	14	1.0	1.0
1102765	1	0	0	14	1.0	1.0
5251874	1	0	0	14	1.0	1.0
2322414	1	0	0	14	1.0	1.0
678337	1	0	0	14	1.0	1.0
2640655	1	0	0	14	1.0	1.0
523888	1	0	0	14	1.0	1.0
682592	1	0	0	14	1.0	1.0
4444286	1	0	0	14	1.0	1.0
3135541	1	0	0	14	1.0	1.0
3578843	1	0	0	14	1.0	1.0
939807	1	0	0	14	1.0	1.0
980429	1	0	0	14	1.0	1.0
5481024	1	0	0	14	1.0	1.0
2820956	1	0	0	14	1.0	1.0
5459375	1	0	0	14	1.0	1.0
1019322	1	0	0	14	1.0	1.0
5090329	1	0	0	14	1.0	1.0
3833085	1	0	0	14	1.0	1.0
1011814	1	0	0	14	1.0	1.0
3832226	1	0	0	14	1.0	1.0
1908727	1	0	0	14	1.0	1.0
84398	1	0	0	14	1.0	1.0
5158779	1	0	0	14	1.0	1.0
2361154	1	0	0	14	1.0	1.0
4139533	1	0	0	14	1.0	1.0
3458392	1	0	0	14	1.0	1.0
718875	1	0	0	14	1.0	1.0
2556499	1	0	0	14	1.0	1.0
2032249	1	0	0	14	1.0	1.0
5159031	1	0	0	14	1.0	1.0
3171282	1	0	0	14	1.0	1.0
1041334	1	0	0	14	1.0	1.0
2629669	1	0	0	14	1.0	1.0
3385001	1	0	0	14	1.0	1.0
58661	1	0	0	14	1.0	1.0
960081	1	0	0	14	1.0	1.0
1680173	1	0	0	14	1.0	1.0
4793593	1	0	0	14	1.0	1.0
3881299	1	0	0	14	1.0	1.0
4988168	1	0	0	14	1.0	1.0
4790343	1	0	0	14	1.0	1.0
629623	1	0	0	14	1.0	1.0
2120605	1	0	0	14	1.0	1.0
2882008	1	0	0	14	1.0	1.0
3321511	1	0	0	14	1.0	1.0
233839	1	0	0	14	1.0	1.0
3442557	1	0	0	14	1.0	1.0
3035890	1	0	0	14	1.0	1.0
3555019	1	0	0	14	1.0	1.0
3618237	1	0	0	14	1.0	1.0
5309425	1	0	0	14	1.0	1.0
4784254	1	0	0	14	1.0	1.0
3083918	1	0	0	14	1.0	1.0
1045604	1	0	0	14	1.0	1.0
652001	1	0	0	14	1.0	1.0
178440	1	0	0	14	1.0	1.0
4263162	1	0	0	14	1.0	1.0
5280821	1	0	0	14	1.0	1.0
1007329	1	0	0	14	1.0	1.0
703321	1	0	0	14	1.0	1.0
3975105	1	0	0	14	1.0	1.0
3738489	1	0	0	14	1.0	1.0
2887227	1	0	0	14	1.0	1.0
3373097	1	0	0	14	1.0	1.0
4748324	1	0	0	14	1.0	1.0
532969	1	0	0	14	1.0	1.0
4120742	1	0	0	14	1.0	1.0
